inverter_id,st,pv,mppt,north,east,lat,lon,elev_m,slope_deg,aspect_deg,cross_slope_deg,plane_rms_m,table_east,table_north,table_lat,table_lon
WB01-INV05,17,17,9,9890112.201,459662.647,-0.9941683,116.6374466,74.36,11.319,4.7,0.94,0.229,459662.647,9890112.201,-0.9941683,116.6374466
WB01-INV05,18,18,9,9890104.933,459662.647,-0.9942341,116.6374466,75.02,12.329,5.8,1.27,0.255,459662.647,9890104.933,-0.9942341,116.6374466
WB01-INV06,1,1,1,9890066.92,459568.214,-0.9945779,116.6365978,79.38,11.334,0.8,0.16,0.14,459569.047,9890068.593,-0.9945628,116.6366053
WB01-INV06,2,2,1,9890081.332,459583.85,-0.9944475,116.6367384,78.1,13.013,0.6,0.14,0.166,459584.647,9890083.129,-0.9944313,116.6367455
WB01-INV06,3,3,2,9890074.112,459583.749,-0.9945129,116.6367374,79.0,10.848,2.0,0.38,0.118,459584.647,9890075.861,-0.994497,116.6367455
WB01-INV06,4,4,2,9890066.873,459583.792,-0.9945784,116.6367378,79.36,10.947,0.6,0.12,0.057,459584.647,9890068.593,-0.9945628,116.6367455
WB01-INV06,5,5,3,9890088.523,459599.496,-0.9943825,116.636879,77.39,10.978,359.3,-0.14,0.091,459600.247,9890090.397,-0.9943655,116.6368857
WB01-INV06,6,6,3,9890081.334,459599.412,-0.9944475,116.6368782,78.15,12.468,0.7,0.15,0.132,459600.247,9890083.129,-0.9944313,116.6368857
WB01-INV06,7,7,4,9890074.124,459599.364,-0.9945128,116.6368778,78.91,10.318,1.0,0.18,0.077,459600.247,9890075.861,-0.9944971,116.6368857
WB01-INV06,8,8,4,9890066.847,459599.328,-0.9945786,116.6368775,79.46,10.167,1.7,0.3,0.056,459600.247,9890068.593,-0.9945628,116.6368857
WB01-INV06,9,9,5,9890088.534,459614.984,-0.9943824,116.6370182,77.36,9.504,0.9,0.15,0.052,459615.847,9890090.397,-0.9943656,116.637026
WB01-INV06,10,10,5,9890081.333,459615.0,-0.9944476,116.6370183,78.2,13.133,2.1,0.49,0.141,459615.847,9890083.129,-0.9944313,116.637026
WB01-INV06,11,11,6,9890074.129,459614.972,-0.9945127,116.6370181,78.9,10.299,3.4,0.62,0.087,459615.847,9890075.861,-0.9944971,116.6370259
WB01-INV06,12,12,6,9890066.848,459614.941,-0.9945786,116.6370178,79.51,11.293,1.9,0.38,0.108,459615.847,9890068.593,-0.9945628,116.6370259
WB01-INV06,13,13,7,9890088.513,459630.57,-0.9943826,116.6371583,77.35,9.992,3.0,0.53,0.089,459631.447,9890090.397,-0.9943656,116.6371662
WB01-INV06,14,14,7,9890081.301,459630.583,-0.9944479,116.6371584,77.99,12.63,1.8,0.4,0.156,459631.447,9890083.129,-0.9944313,116.6371662
WB01-INV06,15,15,8,9890074.094,459630.587,-0.9945131,116.6371584,78.93,10.648,1.3,0.24,0.115,459631.447,9890075.861,-0.9944971,116.6371662
WB01-INV06,16,16,8,9890088.498,459646.137,-0.9943828,116.6372982,77.16,11.36,6.5,1.3,0.208,459647.146,9890090.397,-0.9943656,116.6373073
WB01-INV06,17,17,9,9890081.292,459646.215,-0.994448,116.6372989,77.71,12.748,2.6,0.59,0.165,459647.146,9890083.129,-0.9944314,116.6373073
WB01-INV06,18,18,9,9890074.089,459646.163,-0.9945131,116.6372984,78.79,10.274,5.1,0.92,0.205,459647.146,9890075.861,-0.9944971,116.6373073
WB01-INV07,1,1,1,9890175.763,459458.555,-0.9935931,116.6356123,71.49,10.953,7.6,1.47,0.209,459459.847,9890177.613,-0.9935764,116.6356239
